Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2011","Columbia University in the City of New York","Biochemistry","Total for selected values","27",
"2011","Columbia University in the City of New York","Biochemistry","Foreign nationals","7",
"2011","Columbia University in the City of New York","Biochemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","20",
"2011","Columbia University in the City of New York","Biology","Total for selected values","106",
"2011","Columbia University in the City of New York","Biology","Foreign nationals","35",
"2011","Columbia University in the City of New York","Biology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","71",
"2011","Columbia University in the City of New York","Biomedical engineering","Total for selected values","126",
"2011","Columbia University in the City of New York","Biomedical engineering","Foreign nationals","42",
"2011","Columbia University in the City of New York","Biomedical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","84",
"2011","Columbia University in the City of New York","Biometry and epidemiology","Total for selected values","208",
"2011","Columbia University in the City of New York","Biometry and epidemiology","Foreign nationals","55",
"2011","Columbia University in the City of New York","Biometry and epidemiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","153",
"2011","Columbia University in the City of New York","Biophysics","Total for selected values","74",
"2011","Columbia University in the City of New York","Biophysics","Foreign nationals","15",
"2011","Columbia University in the City of New York","Biophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","59",
"2011","Columbia University in the City of New York","Biosciences not elsewhere classified","Total for selected values","123",
"2011","Columbia University in the City of New York","Biosciences not elsewhere classified","Foreign nationals","27",
"2011","Columbia University in the City of New York","Biosciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","96",
"2011","Columbia University in the City of New York","Chemical engineering","Total for selected values","75",
"2011","Columbia University in the City of New York","Chemical engineering","Foreign nationals","40",
"2011","Columbia University in the City of New York","Chemical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","35",
"2011","Columbia University in the City of New York","Chemistry","Total for selected values","125",
"2011","Columbia University in the City of New York","Chemistry","Foreign nationals","38",
"2011","Columbia University in the City of New York","Chemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","87",
"2011","Columbia University in the City of New York","Civil engineering","Total for selected values","163",
"2011","Columbia University in the City of New York","Civil engineering","Foreign nationals","95",
"2011","Columbia University in the City of New York","Civil engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","68",
"2011","Columbia University in the City of New York","Computer sciences","Total for selected values","452",
"2011","Columbia University in the City of New York","Computer sciences","Foreign nationals","329",
"2011","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","123",
"2011","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Total for selected values","65",
"2011","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Foreign nationals","38",
"2011","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","27",
"2011","Columbia University in the City of New York","Ecology","Total for selected values","64",
"2011","Columbia University in the City of New York","Ecology","Foreign nationals","12",
"2011","Columbia University in the City of New York","Ecology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","52",
"2011","Columbia University in the City of New York","Economics (except agricultural)","Total for selected values","129",
"2011","Columbia University in the City of New York","Economics (except agricultural)","Foreign nationals","90",
"2011","Columbia University in the City of New York","Economics (except agricultural)","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","39",
"2011","Columbia University in the City of New York","Electrical engineering","Total for selected values","552",
"2011","Columbia University in the City of New York","Electrical engineering","Foreign nationals","406",
"2011","Columbia University in the City of New York","Electrical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","146",
"2011","Columbia University in the City of New York","Engineering science, mechanics, and physics","Total for selected values","129",
"2011","Columbia University in the City of New York","Engineering science, mechanics, and physics","Foreign nationals","51",
"2011","Columbia University in the City of New York","Engineering science, mechanics, and physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","78",
"2011","Columbia University in the City of New York","Genetics","Total for selected values","37",
"2011","Columbia University in the City of New York","Genetics","Foreign nationals","7",
"2011","Columbia University in the City of New York","Genetics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","30",
"2011","Columbia University in the City of New York","Geosciences","Total for selected values","118",
"2011","Columbia University in the City of New York","Geosciences","Foreign nationals","55",
"2011","Columbia University in the City of New York","Geosciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","63",
"2011","Columbia University in the City of New York","Industrial and manufacturing engineering","Total for selected values","549",
"2011","Columbia University in the City of New York","Industrial and manufacturing engineering","Foreign nationals","461",
"2011","Columbia University in the City of New York","Industrial and manufacturing engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","88",
"2011","Columbia University in the City of New York","Mathematics and applied mathematics","Total for selected values","165",
"2011","Columbia University in the City of New York","Mathematics and applied mathematics","Foreign nationals","110",
"2011","Columbia University in the City of New York","Mathematics and applied mathematics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","55",
"2011","Columbia University in the City of New York","Mechanical engineering","Total for selected values","180",
"2011","Columbia University in the City of New York","Mechanical engineering","Foreign nationals","111",
"2011","Columbia University in the City of New York","Mechanical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","69",
"2011","Columbia University in the City of New York","Microbiology, immunology, and virology","Total for selected values","22",
"2011","Columbia University in the City of New York","Microbiology, immunology, and virology","Foreign nationals","3",
"2011","Columbia University in the City of New York","Microbiology, immunology, and virology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","19",
"2011","Columbia University in the City of New York","Neurology","Total for selected values","18",
"2011","Columbia University in the City of New York","Neurology","Foreign nationals","1",
"2011","Columbia University in the City of New York","Neurology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","17",
"2011","Columbia University in the City of New York","Nursing science","Total for selected values","20",
"2011","Columbia University in the City of New York","Nursing science","Foreign nationals","2",
"2011","Columbia University in the City of New York","Nursing science","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","18",
"2011","Columbia University in the City of New York","Nutrition","Total for selected values","23",
"2011","Columbia University in the City of New York","Nutrition","Foreign nationals","5",
"2011","Columbia University in the City of New York","Nutrition","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","18",
"2011","Columbia University in the City of New York","Pathology","Total for selected values","26",
"2011","Columbia University in the City of New York","Pathology","Foreign nationals","8",
"2011","Columbia University in the City of New York","Pathology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","18",
"2011","Columbia University in the City of New York","Pharmacology and toxicology","Total for selected values","22",
"2011","Columbia University in the City of New York","Pharmacology and toxicology","Foreign nationals","5",
"2011","Columbia University in the City of New York","Pharmacology and toxicology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","17",
"2011","Columbia University in the City of New York","Physics","Total for selected values","106",
"2011","Columbia University in the City of New York","Physics","Foreign nationals","58",
"2011","Columbia University in the City of New York","Physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","48",
"2011","Columbia University in the City of New York","Physiology","Total for selected values","9",
"2011","Columbia University in the City of New York","Physiology","Foreign nationals","2",
"2011","Columbia University in the City of New York","Physiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","7",
"2011","Columbia University in the City of New York","Political science and government","Total for selected values","180",
"2011","Columbia University in the City of New York","Political science and government","Foreign nationals","88",
"2011","Columbia University in the City of New York","Political science and government","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","92",
"2011","Columbia University in the City of New York","Preventive medicine and community health","Total for selected values","77",
"2011","Columbia University in the City of New York","Preventive medicine and community health","Foreign nationals","11",
"2011","Columbia University in the City of New York","Preventive medicine and community health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","66",
"2011","Columbia University in the City of New York","Psychology, general","Total for selected values","36",
"2011","Columbia University in the City of New York","Psychology, general","Foreign nationals","5",
"2011","Columbia University in the City of New York","Psychology, general","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","31",
"2011","Columbia University in the City of New York","Social sciences not elsewhere classified","Total for selected values","141",
"2011","Columbia University in the City of New York","Social sciences not elsewhere classified","Foreign nationals","40",
"2011","Columbia University in the City of New York","Social sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","101",
"2011","Columbia University in the City of New York","Sociology","Total for selected values","81",
"2011","Columbia University in the City of New York","Sociology","Foreign nationals","32",
"2011","Columbia University in the City of New York","Sociology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","49",
"2011","Columbia University in the City of New York","Statistics","Total for selected values","305",
"2011","Columbia University in the City of New York","Statistics","Foreign nationals","246",
"2011","Columbia University in the City of New York","Statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","59",
"2010","Total for selected values","Total for selected values","Total for selected values","4,600",
"2010","Columbia University in the City of New York","Total for selected values","Total for selected values","4,600",
"2010","Columbia University in the City of New York","Anthropology","Total for selected values","144",
"2010","Columbia University in the City of New York","Anthropology","Foreign nationals","43",
"2010","Columbia University in the City of New York","Anthropology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","101",
"2010","Columbia University in the City of New York","Astronomy and astrophysics","Total for selected values","29",
"2010","Columbia University in the City of New York","Astronomy and astrophysics","Foreign nationals","8",
"2010","Columbia University in the City of New York","Astronomy and astrophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","21",
"2010","Columbia University in the City of New York","Biochemistry","Total for selected values","22",
"2010","Columbia University in the City of New York","Biochemistry","Foreign nationals","5",
"2010","Columbia University in the City of New York","Biochemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","17",
"2010","Columbia University in the City of New York","Biology","Total for selected values","106",
"2010","Columbia University in the City of New York","Biology","Foreign nationals","39",
"2010","Columbia University in the City of New York","Biology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","67",
"2010","Columbia University in the City of New York","Biomedical engineering","Total for selected values","125",
"2010","Columbia University in the City of New York","Biomedical engineering","Foreign nationals","42",
"2010","Columbia University in the City of New York","Biomedical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"2010","Columbia University in the City of New York","Biometry and epidemiology","Total for selected values","199",
"2010","Columbia University in the City of New York","Biometry and epidemiology","Foreign nationals","52",
"2010","Columbia University in the City of New York","Biometry and epidemiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","147",
"2010","Columbia University in the City of New York","Biophysics","Total for selected values","76",
"2010","Columbia University in the City of New York","Biophysics","Foreign nationals","15",
"2010","Columbia University in the City of New York","Biophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","61",
"2010","Columbia University in the City of New York","Biosciences not elsewhere classified","Total for selected values","128",
"2010","Columbia University in the City of New York","Biosciences not elsewhere classified","Foreign nationals","29",
"2010","Columbia University in the City of New York","Biosciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","99",
"2010","Columbia University in the City of New York","Chemical engineering","Total for selected values","70",
"2010","Columbia University in the City of New York","Chemical engineering","Foreign nationals","29",
"2010","Columbia University in the City of New York","Chemical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","41",
"2010","Columbia University in the City of New York","Chemistry","Total for selected values","133",
"2010","Columbia University in the City of New York","Chemistry","Foreign nationals","41",
"2010","Columbia University in the City of New York","Chemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","92",
"2010","Columbia University in the City of New York","Civil engineering","Total for selected values","142",
"2010","Columbia University in the City of New York","Civil engineering","Foreign nationals","72",
"2010","Columbia University in the City of New York","Civil engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","70",
"2010","Columbia University in the City of New York","Clinical medicine not elsewhere classified","Total for selected values","1",
"2010","Columbia University in the City of New York","Clinical medicine not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","1",
"2010","Columbia University in the City of New York","Computer sciences","Total for selected values","429",
"2010","Columbia University in the City of New York","Computer sciences","Foreign nationals","314",
"2010","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","115",
"2010","Columbia University in the City of New York","Dental sciences","Total for selected values","3",
"2010","Columbia University in the City of New York","Dental sciences","Foreign nationals","3",
"2010","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Total for selected values","64",
"2010","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Foreign nationals","32",
"2010","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","32",
"2010","Columbia University in the City of New York","Ecology","Total for selected values","73",
"2010","Columbia University in the City of New York","Ecology","Foreign nationals","10",
"2010","Columbia University in the City of New York","Ecology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","63",
"2010","Columbia University in the City of New York","Economics (except agricultural)","Total for selected values","120",
"2010","Columbia University in the City of New York","Economics (except agricultural)","Foreign nationals","83",
"2010","Columbia University in the City of New York","Economics (except agricultural)","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","37",
"2010","Columbia University in the City of New York","Electrical engineering","Total for selected values","484",
"2010","Columbia University in the City of New York","Electrical engineering","Foreign nationals","277",
"2010","Columbia University in the City of New York","Electrical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","207",
"2010","Columbia University in the City of New York","Engineering science, mechanics, and physics","Total for selected values","155",
"2010","Columbia University in the City of New York","Engineering science, mechanics, and physics","Foreign nationals","62",
"2010","Columbia University in the City of New York","Engineering science, mechanics, and physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","93",
"2010","Columbia University in the City of New York","Genetics","Total for selected values","32",
"2010","Columbia University in the City of New York","Genetics","Foreign nationals","5",
"2010","Columbia University in the City of New York","Genetics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","27",
"2010","Columbia University in the City of New York","Geosciences","Total for selected values","109",
"2010","Columbia University in the City of New York","Geosciences","Foreign nationals","36",
"2010","Columbia University in the City of New York","Geosciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","73",
"2010","Columbia University in the City of New York","Industrial and manufacturing engineering","Total for selected values","443",
"2010","Columbia University in the City of New York","Industrial and manufacturing engineering","Foreign nationals","360",
"2010","Columbia University in the City of New York","Industrial and manufacturing engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"2010","Columbia University in the City of New York","Mathematics and applied mathematics","Total for selected values","142",
"2010","Columbia University in the City of New York","Mathematics and applied mathematics","Foreign nationals","86",
"2010","Columbia University in the City of New York","Mathematics and applied mathematics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","56",
"2010","Columbia University in the City of New York","Mechanical engineering","Total for selected values","172",
"2010","Columbia University in the City of New York","Mechanical engineering","Foreign nationals","98",
"2010","Columbia University in the City of New York","Mechanical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","74",
"2010","Columbia University in the City of New York","Microbiology, immunology, and virology","Total for selected values","23",
"2010","Columbia University in the City of New York","Microbiology, immunology, and virology","Foreign nationals","5",
"2010","Columbia University in the City of New York","Microbiology, immunology, and virology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","18",
"2010","Columbia University in the City of New York","Neurology","Total for selected values","4",
"2010","Columbia University in the City of New York","Neurology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","4",
"2010","Columbia University in the City of New York","Nursing science","Total for selected values","211",
"2010","Columbia University in the City of New York","Nursing science","Foreign nationals","2",
"2010","Columbia University in the City of New York","Nursing science","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","209",
"2010","Columbia University in the City of New York","Nutrition","Total for selected values","27",
"2010","Columbia University in the City of New York","Nutrition","Foreign nationals","2",
"2010","Columbia University in the City of New York","Nutrition","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","25",
"2010","Columbia University in the City of New York","Oncology and cancer research","Total for selected values","2",
"2010","Columbia University in the City of New York","Oncology and cancer research","Foreign nationals","1",
"2010","Columbia University in the City of New York","Oncology and cancer research","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","1",
"2010","Columbia University in the City of New York","Pathology","Total for selected values","26",
"2010","Columbia University in the City of New York","Pathology","Foreign nationals","10",
"2010","Columbia University in the City of New York","Pathology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","16",
"2010","Columbia University in the City of New York","Pharmacology and toxicology","Total for selected values","19",
"2010","Columbia University in the City of New York","Pharmacology and toxicology","Foreign nationals","3",
"2010","Columbia University in the City of New York","Pharmacology and toxicology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","16",
"2010","Columbia University in the City of New York","Physics","Total for selected values","110",
"2010","Columbia University in the City of New York","Physics","Foreign nationals","63",
"2010","Columbia University in the City of New York","Physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","47",
"2010","Columbia University in the City of New York","Physiology","Total for selected values","9",
"2010","Columbia University in the City of New York","Physiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","9",
"2010","Columbia University in the City of New York","Political science and government","Total for selected values","172",
"2010","Columbia University in the City of New York","Political science and government","Foreign nationals","78",
"2010","Columbia University in the City of New York","Political science and government","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","94",
"2010","Columbia University in the City of New York","Preventive medicine and community health","Total for selected values","82",
"2010","Columbia University in the City of New York","Preventive medicine and community health","Foreign nationals","11",
"2010","Columbia University in the City of New York","Preventive medicine and community health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","71",
"2010","Columbia University in the City of New York","Psychology, general","Total for selected values","46",
"2010","Columbia University in the City of New York","Psychology, general","Foreign nationals","3",
"2010","Columbia University in the City of New York","Psychology, general","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","43",
"2010","Columbia University in the City of New York","Social sciences not elsewhere classified","Total for selected values","132",
"2010","Columbia University in the City of New York","Social sciences not elsewhere classified","Foreign nationals","27",
"2010","Columbia University in the City of New York","Social sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","105",
"2010","Columbia University in the City of New York","Sociology","Total for selected values","60",
"2010","Columbia University in the City of New York","Sociology","Foreign nationals","21",
"2010","Columbia University in the City of New York","Sociology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","39",
"2010","Columbia University in the City of New York","Statistics","Total for selected values","276",
"2010","Columbia University in the City of New York","Statistics","Foreign nationals","213",
"2010","Columbia University in the City of New York","Statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","63",
"2009","Total for selected values","Total for selected values","Total for selected values","4,196",
"2009","Columbia Univ in the City of New York","Total for selected values","Total for selected values","4,196",
"2009","Columbia Univ in the City of New York","Anthropology","Total for selected values","134",
"2009","Columbia Univ in the City of New York","Anthropology","Foreign nationals","36",
"2009","Columbia Univ in the City of New York","Anthropology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","98",
"2009","Columbia Univ in the City of New York","Astronomy and astrophysics","Total for selected values","29",
"2009","Columbia Univ in the City of New York","Astronomy and astrophysics","Foreign nationals","8",
"2009","Columbia Univ in the City of New York","Astronomy and astrophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","21",
"2009","Columbia Univ in the City of New York","Biochemistry","Total for selected values","30",
"2009","Columbia Univ in the City of New York","Biochemistry","Foreign nationals","13",
"2009","Columbia Univ in the City of New York","Biochemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","17",
"2009","Columbia Univ in the City of New York","Biology","Total for selected values","112",
"2009","Columbia Univ in the City of New York","Biology","Foreign nationals","42",
"2009","Columbia Univ in the City of New York","Biology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","70",
"2009","Columbia Univ in the City of New York","Biomedical engineering","Total for selected values","123",
"2009","Columbia Univ in the City of New York","Biomedical engineering","Foreign nationals","51",
"2009","Columbia Univ in the City of New York","Biomedical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","72",
"2009","Columbia Univ in the City of New York","Biometry and epidemiology","Total for selected values","193",
"2009","Columbia Univ in the City of New York","Biometry and epidemiology","Foreign nationals","48",
"2009","Columbia Univ in the City of New York","Biometry and epidemiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","145",
"2009","Columbia Univ in the City of New York","Biophysics","Total for selected values","68",
"2009","Columbia Univ in the City of New York","Biophysics","Foreign nationals","14",
"2009","Columbia Univ in the City of New York","Biophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","54",
"2009","Columbia Univ in the City of New York","Biosciences not elsewhere classified","Total for selected values","127",
"2009","Columbia Univ in the City of New York","Biosciences not elsewhere classified","Foreign nationals","19",
"2009","Columbia Univ in the City of New York","Biosciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","108",
"2009","Columbia Univ in the City of New York","Chemistry","Total for selected values","110",
"2009","Columbia Univ in the City of New York","Chemistry","Foreign nationals","39",
"2009","Columbia Univ in the City of New York","Chemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","71",
"2009","Columbia Univ in the City of New York","Civil engineering","Total for selected values","134",
"2009","Columbia Univ in the City of New York","Civil engineering","Foreign nationals","70",
"2009","Columbia Univ in the City of New York","Civil engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","64",
"2009","Columbia Univ in the City of New York","Computer sciences","Total for selected values","400",
"2009","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","271",
"2009","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","129",
"2009","Columbia Univ in the City of New York","Dental sciences","Total for selected values","2",
"2009","Columbia Univ in the City of New York","Dental sciences","Foreign nationals","2",
"2009","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Total for selected values","74",
"2009","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Foreign nationals","33",
"2009","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","41",
"2009","Columbia Univ in the City of New York","Ecology","Total for selected values","65",
"2009","Columbia Univ in the City of New York","Ecology","Foreign nationals","9",
"2009","Columbia Univ in the City of New York","Ecology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","56",
"2009","Columbia Univ in the City of New York","Economics (except agricultural)","Total for selected values","122",
"2009","Columbia Univ in the City of New York","Economics (except agricultural)","Foreign nationals","85",
"2009","Columbia Univ in the City of New York","Economics (except agricultural)","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","37",
"2009","Columbia Univ in the City of New York","Electrical engineering","Total for selected values","294",
"2009","Columbia Univ in the City of New York","Electrical engineering","Foreign nationals","187",
"2009","Columbia Univ in the City of New York","Electrical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","107",
"2009","Columbia Univ in the City of New York","Engineering science, mechanics, and physics","Total for selected values","152",
"2009","Columbia Univ in the City of New York","Engineering science, mechanics, and physics","Foreign nationals","69",
"2009","Columbia Univ in the City of New York","Engineering science, mechanics, and physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"2009","Columbia Univ in the City of New York","Genetics","Total for selected values","38",
"2009","Columbia Univ in the City of New York","Genetics","Foreign nationals","9",
"2009","Columbia Univ in the City of New York","Genetics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","29",
"2009","Columbia Univ in the City of New York","Geosciences","Total for selected values","119",
"2009","Columbia Univ in the City of New York","Geosciences","Foreign nationals","32",
"2009","Columbia Univ in the City of New York","Geosciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","87",
"2009","Columbia Univ in the City of New York","Industrial and manufacturing engineering","Total for selected values","385",
"2009","Columbia Univ in the City of New York","Industrial and manufacturing engineering","Foreign nationals","328",
"2009","Columbia Univ in the City of New York","Industrial and manufacturing engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","57",
"2009","Columbia Univ in the City of New York","Mathematics and applied mathematics","Total for selected values","151",
"2009","Columbia Univ in the City of New York","Mathematics and applied mathematics","Foreign nationals","88",
"2009","Columbia Univ in the City of New York","Mathematics and applied mathematics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","63",
"2009","Columbia Univ in the City of New York","Mechanical engineering","Total for selected values","162",
"2009","Columbia Univ in the City of New York","Mechanical engineering","Foreign nationals","96",
"2009","Columbia Univ in the City of New York","Mechanical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","66",
"2009","Columbia Univ in the City of New York","Microbiology, immunology, and virology","Total for selected values","24",
"2009","Columbia Univ in the City of New York","Microbiology, immunology, and virology","Foreign nationals","6",
"2009","Columbia Univ in the City of New York","Microbiology, immunology, and virology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","18",
"2009","Columbia Univ in the City of New York","Neurology","Total for selected values","4",
"2009","Columbia Univ in the City of New York","Neurology","Foreign nationals","2",
"2009","Columbia Univ in the City of New York","Neurology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","2",
"2009","Columbia Univ in the City of New York","Nursing science","Total for selected values","228",
"2009","Columbia Univ in the City of New York","Nursing science","Foreign nationals","4",
"2009","Columbia Univ in the City of New York","Nursing science","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","224",
"2009","Columbia Univ in the City of New York","Nutrition","Total for selected values","30",
"2009","Columbia Univ in the City of New York","Nutrition","Foreign nationals","4",
"2009","Columbia Univ in the City of New York","Nutrition","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","26",
"2009","Columbia Univ in the City of New York","Pathology","Total for selected values","28",
"2009","Columbia Univ in the City of New York","Pathology","Foreign nationals","9",
"2009","Columbia Univ in the City of New York","Pathology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","19",
"2009","Columbia Univ in the City of New York","Pharmacology and toxicology","Total for selected values","23",
"2009","Columbia Univ in the City of New York","Pharmacology and toxicology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","23",
"2009","Columbia Univ in the City of New York","Physics","Total for selected values","107",
"2009","Columbia Univ in the City of New York","Physics","Foreign nationals","66",
"2009","Columbia Univ in the City of New York","Physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","41",
"2009","Columbia Univ in the City of New York","Physiology","Total for selected values","8",
"2009","Columbia Univ in the City of New York","Physiology","Foreign nationals","3",
"2009","Columbia Univ in the City of New York","Physiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","5",
"2009","Columbia Univ in the City of New York","Political science and government","Total for selected values","167",
"2009","Columbia Univ in the City of New York","Political science and government","Foreign nationals","79",
"2009","Columbia Univ in the City of New York","Political science and government","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","88",
"2009","Columbia Univ in the City of New York","Preventive medicine and community health","Total for selected values","83",
"2009","Columbia Univ in the City of New York","Preventive medicine and community health","Foreign nationals","12",
"2009","Columbia Univ in the City of New York","Preventive medicine and community health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","71",
"2009","Columbia Univ in the City of New York","Psychology, general","Total for selected values","41",
"2009","Columbia Univ in the City of New York","Psychology, general","Foreign nationals","4",
"2009","Columbia Univ in the City of New York","Psychology, general","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","37",
"2009","Columbia Univ in the City of New York","Social sciences not elsewhere classified","Total for selected values","124",
"2009","Columbia Univ in the City of New York","Social sciences not elsewhere classified","Foreign nationals","30",
"2009","Columbia Univ in the City of New York","Social sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","94",
"2009","Columbia Univ in the City of New York","Sociology","Total for selected values","59",
"2009","Columbia Univ in the City of New York","Sociology","Foreign nationals","31",
